"Visitas","VisitasUnicas","Ingresos","Utilidad","LibrasVendidas","estadistico","periodo"
1055.21,975.93,608250.12,200233.41,18736.73,"media","Inicial"
899,845.5,586169.66,208913,17269.7,"mediana","Inicial"
355.03,319.6,155930.4,60691.55,5427.39,"desv_est","Inicial"
626,594,274567.61,62580.4,8633.06,"minimo","Inicial"
1632,1509,890076.65,275218.1,28052.92,"maximo","Inicial"
562.95,516.81,534313.52,159932.03,18440.77,"media","Pre-Promocion"
558,510,534541.68,152476.4,17215.12,"mediana","Pre-Promocion"
80.87,70.94,150502.82,42682.68,5965.63,"desv_est","Pre-Promocion"
383,366,315647.11,100388.4,8992.42,"minimo","Pre-Promocion"
795,734,951216.16,273174.7,31968.98,"maximo","Pre-Promocion"
1814.35,1738.82,456398.85,131929.9,17112.92,"media","Promocion"
1663,1585,413937.08,114328.4,17299.12,"mediana","Promocion"
758.1,743.03,161741.1,47776.85,6519.07,"desv_est","Promocion"
1000,930,268159.51,81841.4,7814.05,"minimo","Promocion"
3726,3617,897163.71,266476.7,31496.26,"maximo","Promocion"
856.57,800.79,371728.02,111045.82,14577.79,"media","Post-Promocion"
847.5,800,348397.09,104530.45,13646.89,"mediana","Post-Promocion"
70.89,72.36,145728.33,49065.27,5941.56,"desv_est","Post-Promocion"
772,709,133966.9,32825.3,3825.75,"minimo","Post-Promocion"
963,912,615950.17,206441.2,23761.61,"maximo","Post-Promocion"
